Issue_Level_1_客訴故障現象,出現次數
螺絲滑牙,54
螺絲滑絲,8
接地螺絲擰不緊,5
螺絲擰不緊,4
其他(螺絲滑牙)&,4
螺絲來料就有問題，需要申請換新機的,4
螺絲打滑,3
電源螺絲打滑,3
接線端螺絲打滑,3
R項螺絲滑牙,3
L2C螺絲滑牙,2
s項螺絲滑牙,2
地線螺絲擰不緊,2
R端螺絲滑牙,2
L1螺絲滑牙,2
其他(S項螺絲滑牙)&,2
驅動器螺絲滑牙,2
L2C螺絲壞擰不下去,1
裏面有螺絲,1
螺絲鈕不了,1
06A/009/091/報OC/燒壞/通電不顯示/黑屏/螺絲擰不緊/干擾找其他站號,1
D01一直有輸出/接地螺絲擰不緊/CN4無法連接/端子滑牙/找不到站號、CN6通訊不上、CN1沒螺絲無法固定、報警、無顯示,1
螺絲滑平,1
不能正常工作，螺絲滑牙無法鎖定,1
端子排R螺絲滑牙,1
第一個螺絲位置擰不下去,1
實際電壓正常，但顯示報警086或R處鎖不緊/地線螺絲擰不緊/屏幕顯示不全,1
端子T螺絲壞,1
接地螺絲又擰不緊,1
螺絲斷,1
U相螺絲擰不開,1
其他(新機驅動器丅的位置螺絲滑牙申請發服務機)&,1
L1C螺絲壞擰不下去,1
R相螺絲滑牙,1
L2螺絲滑牙,1
L2L螺絲滑牙,1
R端子螺絲滑牙,1
其他(有顆螺絲擰不進去)&,1
其他(客戶反映螺絲擰不緊 )&,1
壓線螺絲滑絲,1
R點螺絲擰不出來,1
"其他(""T""螺絲滑絲)&",1
第二個螺絲孔滑牙,1
有個螺絲滑牙了,1
L2螺絲滑開,1
"按鍵壞了,螺絲滑牙",1
螺絲滑牙了,1
第二顆螺絲滑牙了,1
W螺絲滑牙,1
R位螺絲滑牙,1
電源輸入端R端螺絲鎖不緊,1
R螺絲口壞,1
螺絲滑開,1
電源螺絲滑牙,1
U螺絲端子擰不出來也擰不緊,1
其他( R和S螺絲滑絲 ),1
顯示異常;W螺絲滑牙,1
R螺絲滑牙,1
接線端子螺絲扣滑牙,1
其他(R相螺絲滑牙),1
r項螺絲滑牙,1
其他(新機，客戶打開包裝後自機器本體內掉出螺絲),1
庫存機拿出測試發現螺絲滑牙,1
第二個螺絲滑牙，擰不出,1
R螺絲滑牙，上電報警,1
