合併正規化值,正規化
"""1.P對UVW open 2.金屬屑污染,DR28燒壞,case融損""","1.P對UVW OPEN 2.金屬屑污染,DR28燒毀,CASE融損"
"""3臺電腦系統報警,驅動器通電無顯示 2臺寫的保護管變形/少按鈕""","3台電腦系統報警,驅動器通電無顯示,2台寫的保護管變形,少按鈕"
"""走位不準。需要故障分析 """,走位不准需要故障分析
"""通電不亮 """,通電不亮
(亂碼,亂碼
(新機上電亂碼,上電後異常
-,~
001報警,AL001
001頻繁報警,AL001
003低壓報警,AL003
003報警,AL003
"006,009,031報警","AL006,AL009,AL031"
006報警,AL006
009報警,AL009
011報警,AL011
06A/009/091/報OC/燒壞/通電不顯示/黑屏/螺絲擰不緊/幹擾找其他站號,"AL009,AL06A,AL091"
083震動,AL083
09F,AL09F
09f報警,AL09F
0X0C31/Z軸上不去,"0X0C31,Z軸上不去"
"1.DO功能測試正常 2.P1-53=0,剎車功能關閉","1.DO功能測試正常 2.P1~53=0,剎車功能關閉"
"1.P對R open 2.DD22打火,二極管特性正常,R相銅箔熔斷","1.P對R OPEN 2.DD22打火,二極管特性正常,R相銅箔熔斷"
"1.P對U open,對VW短路","1.P對U OPEN,對VW SHORT"
"1.VBUS電壓顯示偏低234VDC 2.電錶量測U12-PIN9(VDET-) VBUS電壓跳動,顯示正常",1.VBUS電壓顯示偏低234VDC
"1.上電無顯示,L1L2端子打火,J6端子外力損壞 2.U2 3.3V對GND短路。","1.上電無顯示,L1L2端子打火,J6端子外力損壞 2.U2 3.3V對GND SHORT"
1.散熱片有泡水受潮痕跡 2.IGBT PIN9對COM短路3.驅動光耦DPH7輸出異常,1.散熱片有泡水受潮痕迹 2.IGBT PIN9對COM SHORT3.驅動光耦DPH7輸出異常
11號報警,AL011
11號報警CN2壞,"AL011,CN2壞"
1號報警,AL001
"3.3VD迴路短路,1.2V迴路短路,5V上電U24,U33異常發熱,移除U24,U33短路狀態消失","3.3VD迴路SHORT,1.2V迴路SHORT,5V上電U24,U33異常發熱,移除U24,U33 SHORT狀態消失"
3.3V及1.2V短路,3.3V及1.2V SHORT
"3.3V擊穿迴路擊穿,5V單獨上電,FPGA異常發熱,U21燒壞","3.3V擊穿迴路擊穿,5V單獨上電,FPGA異常發熱,U21燒毀"
3.3V短路,3.3V SHORT
31號報警,AL031
37\39\41\43點位無法使用,"PIN37,PIN39,PIN41,PIN43點位無法使用"
"3臺寫的報警RL09C,1臺寫的通訊不上",AL003
3號報警,AL09C
485通訊不良,"485連接不上,軟件也通訊不上"
"485連接不上,軟件也通訊不上",485通訊不良
5VD GD短路,5VD_GD SHORT
5VD_USB與DGND短路,5VD_USB與DGND SHORT
5VD只有3VDC,5VD無輸出
5VD無輸出,5VD只有3VDC
"5驅動不了電機,上使能無反應,軟件上看報ALC31",ALC31
6號報警,AL006
"83報警問題,輸出壞",AL083
83號報警,AL083
85號報警,AL085
A09F,AL09F
"AB機,R相螺絲損壞","AB機,R端子_螺絲損壞"
AL0006,AL006
"AL001,另外懷疑5V芯片有問題",AL001
"AL001,過電流",AL001
AL001/AL006報警,AL001
AL001報警,AL001
"AL001報警,申請換週轉機",AL001
AL001報警頻繁會跳閘,AL001
AL001過電流,AL001
AL003低壓報警,AL003
AL003報警,AL003
AL006報警,AL006
AL01,AL001
AL011 過電流,AL011
"AL011,CN2插口接觸不良",AL011
AL011報警,AL011
AL011過電流,AL011
