Issue_Level_1_客訴故障現象+Issue_Level_2_分析看到現象,正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
0,0,3000,3000
2,2,-,-
11,11, DC53及SPS电容DC3鼓包，整流子DD23/DD22击穿，与其相连铜箔熔断,"DC53及SPS電容DC3鼓包,整流子DD23/DD22擊穿,與其相連銅箔熔斷"
31,31,3.3V及1.2V短路,3.3V及1.2V SHORT
85,85,3.3V短路,3.3V SHORT
2300,2300,3.3V輸出異常,3.3V輸出異常
" DR28过热,回生电阻烧,N段子处有打火痕迹","DR28過熱,回生電阻燒,N段子処有打火痕迹",485通讯不良,485通訊不良
 坏,壞,5VD只有3VDC,5VD只有3VDC
 报AL001,AL001,5VD无输出,5VD無輸出
 其他(无显示),其他(無顯示),62569预防性更换,62569預防性更換
 帮忙检测,幫忙檢測,AB機,AB機
"""1.P对UVW open 2.金属屑污染,DR28烧坏,case融损""","1.P對UVW OPEN 2.金屬屑污染,DR28燒壞,CASE融損","AB機,R相螺絲損壞","AB機,R端子_螺絲損壞"
"""3台电脑系统报警，驱动器通电无显示 2台写的保护管变形/少按钮""","3台電腦系統報警,驅動器通電無顯示,2台寫的保護管變形,少按鈕",AL,AL
"""走位不准。需要故障分析 """,走位不准。需要故障分析,AL001,AL001
"""通电不亮 """,通電不亮,AL001/AL006報警,"AL001,AL006報警"
(乱码,亂碼,AL002,AL002
(新机上电乱码,上電後異常,AL003,AL003
“AL011”报警,AL011,AL006,AL006
001报警,AL001,AL011,AL011
001频繁报警,AL001,AL016,AL016
003低压报警,AL003,AL022,AL022
003报警,AL003,AL031,AL031
006、009、031报警,"AL006,AL009,AL031",AL06,AL006
006报警,AL006,AL083,AL083
009报警,AL009,AL085,AL085
011报警,AL011,AL3CF,AL3CF
06A/009/091/报OC/烧坏/通电不显示/黑屏/螺丝拧不紧/干扰找其他站号,"AL009,AL06A,AL091",AL3E3,AL3E3
083震动,AL083,BDSP1第1位A筆畫不亮,BDSP1第1位A筆畫不亮
09F,AL09F,BDSP1第1位DEF筆畫不亮,BDSP1第1位DEF筆畫不亮
09f报警,AL09F,BDSP1第2位A筆畫不亮,BDSP1第2位A筆畫不亮
0X0085,0X0085,BDSP1第3位E筆畫不亮,BDSP1第3位E筆畫不亮
0X0C31/Z轴上不去,"0X0C31,Z軸上不去",BDSP1第二位第三位D筆畫不亮,BDSP1第二位第三位D筆畫不亮
0X11位置检出异常,0X11位置檢出异常,BDSP1漏焊,BDSP1漏焊
"1.DO功能测试正常 2.P1-53=0,剎车功能关闭","1.DO功能測試正常 2.P1-53=0,剎車功能關閉",BI模式，导致AL011,"BI模式,AL011"
"1.P对R open 2.DD22打火,二极管特性正常,R相铜箔熔断","1.P對R OPEN 2.DD22打火,二極管特性正常,R相銅箔熔斷",BJ1 Pin14與Pin16維修錫短,BJ1 PIN14與PIN16維修錫短
"1.P对U open,对VW短路","1.P對U OPEN,對VW SHORT",BJ1焊錫不良,BJ1焊錫不良
1.VBUS电压显示偏低234VDC 2.,1.VBUS電壓顯示偏低234VDC,BJ1锡短,BJ1端子16PIN漏焊
"1.上电无显示,L1L2端子打火,J6端子外力损坏 2.U2 3.3V对GND短路。","1.上電無顯示,L1L2端子打火,J6端子外力損壞 2.U2 3.3V對GND SHORT",BJ1端子16PIN漏焊,BJ1錫短
1.散热片有泡水受潮痕迹 2.IGBT PIN9对COM短路3.驱动光耦DPH7输出异常,1.散熱片有泡水受潮痕迹 2.IGBT PIN9對COM SHORT3.驅動光耦DPH7輸出异常,BSW1/BSW3按键断BSW4/BSW2按键损伤,BSW1/BSW3按鍵斷BSW4/BSW2按鍵損傷
11号报警,AL011,BSW1外力損壞,BSW1外力損壞
11号报警CN2坏,"AL011,CN2壞",BSW2外力損壞,BSW2外力損壞
1号报警,AL001,BSW3无按键帽，BSW2按键帽歪斜,"BSW3無按鍵帽,BSW2按鍵帽歪斜"
3.3VD迴路短路，1.2V迴路短路，5V上電U24，U33異常發熱，移除U24，U33短路狀態消失,"3.3VD迴路SHORT,1.2V迴路SHORT,5V上電U24,U33異常發熱,移除U24,U33 SHORT狀態消失",BSW4按鍵鉚點撞斷,BSW4按鍵鉚點撞斷
3.3V擊穿迴路擊穿；5V單獨上電，FPGA異常發熱；U21燒壞,"3.3V擊穿迴路擊穿,5V單獨上電,FPGA異常發熱,U21燒壞",BUS電容下錫渣，高壓跳火,"BUS電容下錫渣,高壓跳火"
3.3V輸出端只有0.9左右輸出,3.3V輸出端只有0.9左右輸出,C10撞件,C10撞件
31号报警,AL031,C177阻抗偏低,C177阻抗偏低
37\39\41\43点位无法使用,"PIN37,PIN39,PIN41,PIN43點位無法使用",C185低電壓,C185低電壓
3台写的报警RL09C，1台写的通讯不上,AL09C,C20/C21阻抗偏低,"C20,C21阻抗偏低"
3号报警,AL003,C20漏電,C20漏電
"485连接不上,软件也通讯不上","485連接不上,軟件也通訊不上",C217錫短,C217錫短
5VD GD短路,5VD_GD SHORT,C23碎件短路,C23碎件SHORT
5VD_PWR上电无显示,5VD_PWR上電無顯示,C65低阻抗短路,C65低阻抗SHORT
5VD_USB与DGND短路,5VD_USB與DGND SHORT,C707碎件打火,C707碎件打火
5驱动不了电机，上使能无反应，软件上看报ALC31,ALC31,C94、U33虛焊,"C94,U33虛焊"
62569预防性更换,62569預防性更換,C9焊錫不良,C9焊錫不良
6号报警,AL006,canopen通讯正常,canOPEN通訊正常
83号报警,AL083,case使用錯料,CASE使用錯料
