Issue_Level_1_客訴故障現象+Issue_Level_2_分析看到現象,正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
0,0,3000,3000
2,2,-,-
11,11, DC53及SPS電容DC3鼓包，整流子DD23/DD22擊穿，與其相連銅箔熔斷,"DC53及SPS電容DC3鼓包,整流子DD23/DD22擊穿,與其相連銅箔熔斷"
31,31,3.3V及1.2V短路,3.3V及1.2V SHORT
85,85,3.3V短路,3.3V SHORT
2300,2300,3.3V輸出異常,3.3V輸出異常
" DR28過熱,回生電阻燒,N段子處有打火痕跡","DR28過熱,回生電阻燒,N段子処有打火痕跡",485通訊不良,485通訊不良
 壞,壞,5VD只有3VDC,5VD只有3VDC
 報AL001,AL001,5VD無輸出,5VD無輸出
 其他(無顯示),其他(無顯示),62569預防性更換,62569預防性更換
 幫忙檢測,幫忙檢測,AB機,AB機
"""1.P對UVW open 2.金屬屑污染,DR28燒壞,case融損""","1.P對UVW OPEN 2.金屬屑污染,DR28燒壞,CASE融損","AB機,R相螺絲損壞","AB機,R端子_螺絲損壞"
"""3臺電腦系統報警，驅動器通電無顯示 2臺寫的保護管變形/少按鈕""","3臺電腦系統報警,驅動器通電無顯示,2臺寫的保護管變形,少按鈕",AL,AL
"""走位不準。需要故障分析 """,走位不準。需要故障分析,AL001,AL001
"""通電不亮 """,通電不亮,AL001/AL006報警,"AL001,AL006報警"
(亂碼,亂碼,AL002,AL002
(新機上電亂碼,上電後異常,AL003,AL003
“AL011”報警,AL011,AL006,AL006
001報警,AL001,AL011,AL011
001頻繁報警,AL001,AL016,AL016
003低壓報警,AL003,AL022,AL022
003報警,AL003,AL031,AL031
006、009、031報警,"AL006,AL009,AL031",AL06,AL006
006報警,AL006,AL083,AL083
009報警,AL009,AL085,AL085
011報警,AL011,AL3CF,AL3CF
06A/009/091/報OC/燒壞/通電不顯示/黑屏/螺絲擰不緊/干擾找其他站號,"AL009,AL06A,AL091",AL3E3,AL3E3
083震動,AL083,BDSP1第1位A筆畫不亮,BDSP1第1位A筆畫不亮
09F,AL09F,BDSP1第1位DEF筆畫不亮,BDSP1第1位DEF筆畫不亮
09f報警,AL09F,BDSP1第2位A筆畫不亮,BDSP1第2位A筆畫不亮
0X0085,0X0085,BDSP1第3位E筆畫不亮,BDSP1第3位E筆畫不亮
0X0C31/Z軸上不去,"0X0C31,Z軸上不去",BDSP1第二位第三位D筆畫不亮,BDSP1第二位第三位D筆畫不亮
0X11位置檢出異常,0X11位置檢出異常,BDSP1漏焊,BDSP1漏焊
"1.DO功能測試正常 2.P1-53=0,剎車功能關閉","1.DO功能測試正常 2.P1-53=0,剎車功能關閉",BI模式，導致AL011,"BI模式,AL011"
"1.P對R open 2.DD22打火,二極管特性正常,R相銅箔熔斷","1.P對R OPEN 2.DD22打火,二極管特性正常,R相銅箔熔斷",BJ1 Pin14與Pin16維修錫短,BJ1 PIN14與PIN16維修錫短
"1.P對U open,對VW短路","1.P對U OPEN,對VW SHORT",BJ1焊錫不良,BJ1焊錫不良
1.VBUS電壓顯示偏低234VDC 2.,1.VBUS電壓顯示偏低234VDC,BJ1錫短,BJ1端子16PIN漏焊
"1.上電無顯示,L1L2端子打火,J6端子外力損壞 2.U2 3.3V對GND短路。","1.上電無顯示,L1L2端子打火,J6端子外力損壞 2.U2 3.3V對GND SHORT",BJ1端子16PIN漏焊,BJ1錫短
1.散熱片有泡水受潮痕跡 2.IGBT PIN9對COM短路3.驅動光耦DPH7輸出異常,1.散熱片有泡水受潮痕跡 2.IGBT PIN9對COM SHORT3.驅動光耦DPH7輸出異常,BSW1/BSW3按鍵斷BSW4/BSW2按鍵損傷,BSW1/BSW3按鍵斷BSW4/BSW2按鍵損傷
11號報警,AL011,BSW1外力損壞,BSW1外力損壞
11號報警CN2壞,"AL011,CN2壞",BSW2外力損壞,BSW2外力損壞
1號報警,AL001,BSW3無按鍵帽，BSW2按鍵帽歪斜,"BSW3無按鍵帽,BSW2按鍵帽歪斜"
3.3VD迴路短路，1.2V迴路短路，5V上電U24，U33異常發熱，移除U24，U33短路狀態消失,"3.3VD迴路SHORT,1.2V迴路SHORT,5V上電U24,U33異常發熱,移除U24,U33 SHORT狀態消失",BSW4按鍵鉚點撞斷,BSW4按鍵鉚點撞斷
3.3V擊穿迴路擊穿；5V單獨上電，FPGA異常發熱；U21燒壞,"3.3V擊穿迴路擊穿,5V單獨上電,FPGA異常發熱,U21燒壞",BUS電容下錫渣，高壓跳火,"BUS電容下錫渣,高壓跳火"
3.3V輸出端只有0.9左右輸出,3.3V輸出端只有0.9左右輸出,C10撞件,C10撞件
31號報警,AL031,C177阻抗偏低,C177阻抗偏低
37\39\41\43點位無法使用,"PIN37,PIN39,PIN41,PIN43點位無法使用",C185低電壓,C185低電壓
3臺寫的報警RL09C，1臺寫的通訊不上,AL09C,C20/C21阻抗偏低,"C20,C21阻抗偏低"
3號報警,AL003,C20漏電,C20漏電
"485連接不上,軟件也通訊不上","485連接不上,軟件也通訊不上",C217錫短,C217錫短
5VD GD短路,5VD_GD SHORT,C23碎件短路,C23碎件SHORT
5VD_PWR上電無顯示,5VD_PWR上電無顯示,C65低阻抗短路,C65低阻抗SHORT
5VD_USB與DGND短路,5VD_USB與DGND SHORT,C707碎件打火,C707碎件打火
5驅動不了電機，上使能無反應，軟件上看報ALC31,ALC31,C94、U33虛焊,"C94,U33虛焊"
62569預防性更換,62569預防性更換,C9焊錫不良,C9焊錫不良
6號報警,AL006,canopen通訊正常,canOPEN通訊正常
