Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
0,0,J10 PAD 斷,J10 PAD 斷,3000,3000
2,2,J10 PIN1退PIN,J10 PIN1退PIN,-,-
11,11,J10 外力損壞,J10外力損壞,DC53及SPS電容DC3鼓包，整流子DD23/DD22擊穿，與其相連銅箔熔斷,"DC53及SPS電容DC3鼓包,整流子DD23/DD22擊穿,與其相連銅箔熔斷"
31,31,J10外力損壞斷線,J10外力損壞,3.3V及1.2V短路,3.3V及1.2V SHORT
85,85,"J10高蹺漏焊,面板不顯示","J10高蹺漏焊,面板不顯示",3.3V短路,3.3V SHORT
2300,2300,J10焊錫不良,J10焊錫不良,3.3V輸出异常,3.3V輸出異常
" DR28過熱,回生電阻燒,N段子処有打火痕迹","DR28過熱,回生電阻燒,N段子処有打火痕迹","J10脫落,U43擊穿","J10脫落,U43擊穿",485通訊不良,485通訊不良
 其他(無顯示),其他(無顯示),"J10連同銅箔脫落,七段顯示有被撞壓的痕跡,USB口變形","J10連同銅箔脫落,七段顯示有被撞壓的痕跡,USB口變形",5VD只有3VDC,5VD只有3VDC
 報AL001,AL001,J1處銅箔燒碳化,J1銅箔燒碳化,5VD無輸出,5VD無輸出
 幫忙檢測,幫忙檢測,J5粘膠,J5黏膠,62569預防性更換,62569預防性更換
 壞,壞,J5進水報警AL016,"J5進水,AL016",AB機,AB機
"""1.P對UVW open 2.金屬屑污染,DR28燒壞,case融損""","1.P對UVW OPEN 2.金屬屑污染,DR28燒壞,CASE融損",J6 PIN斷,J6 PIN斷,"AB機,R相螺絲損壞","AB機,R端子_螺絲損壞"
"""3台電腦系統報警,驅動器通電無顯示 2台寫的保護管變形,少按鈕""","3台電腦系統報警,驅動器通電無顯示,2台寫的保護管變形,少按鈕",J610 PIN6-8錫短,J610 PIN6-8錫短,AL,AL
"""走位不准。需要故障分析 """,走位不准。需要故障分析,J610 PIN腳連錫,J610 PIN腳連錫,AL001,AL001
"""通電不亮 """,通電不亮,J610連錫,J610連錫,AL001/AL006報警,"AL001,AL006報警"
(亂碼,亂碼,J6傾斜,J6傾斜,AL002,AL002
(新機上電亂碼,上電後異常,J6損壞,J6損壞,AL003,AL003
“AL011”報警,AL011,J6端子CN2口開裂,J6端子CN2口開裂,AL006,AL006
001報警,AL001,J7端子PIN19（VREF）有异物,J7端子PIN19（VREF）有異物,AL011,AL011
001頻繁報警,AL001,"KEYPAD 銘板脫落不見,mode按鍵損壞","keypad銘板脫落不見,mode按鍵損壞",AL016,AL016
003低壓報警,AL003,keypad上SET按鍵損壞,keypad上SET按鍵損壞,AL022,AL022
003報警,AL003,"keypad按鍵損壞,分析受外力影響,但與機構設計相關","keypad按鍵損壞,分析受外力影響,但與機構設計相關",AL031,AL031
006、009、031報警,"AL006,AL009,AL031","keypad缺失,CN2粘膠","keypad缺失,CN2粘膠",AL06,AL006
006報警,AL006,L1、L2打火,L1、L2打火,AL083,AL083
009報警,AL009,L1C相端子螺絲損壞,L1C相端子螺絲損壞,AL085,AL085
011報警,AL011,L1C相端子螺絲滑牙,LC1_螺絲滑牙,AL3CF,AL3CF
"06A,009,091,報OC,燒壞,通電不顯示,黑屏,螺絲擰不緊,幹擾找其他站號","AL009,AL06A,AL091",L1c端子螺絲受外力損壞,L1_螺絲損壞,AL3E3,AL3E3
083震動,AL083,L1C端子螺絲損壞,L1_螺絲損壞,BDSP1第1位A筆畫不亮,BDSP1第1位A筆畫不亮
09F,AL09F,L1C螺絲無法旋入旋出。,L1C_螺絲滑牙,BDSP1第1位DEF筆畫不亮,BDSP1第1位DEF筆畫不亮
